"GSID","Project Name","Project Developer Name","Status","Sustainable Development Goals","Project Type","Country","Description","Estimated Annual Credits","Methodology","Size","Programme of Activities","POA GSID"
"11436","Parque Solar Zonaxol","ZONAXOL S.A.","Listed","13,7,9,8","Solar Thermal - Electricity","Dominican Republic","Parque Solar Zonaxol consists of a 40 MW photovoltaic solar installation located in Avenida Mirador del Yaque, in the Zona Franca Industrial Lic. Víctor Espaillat Mera, Santiago de los Caballeros, Dominican Republic.  This is a first of its kind in the Dominican Republic as it is a large-scale rooftop installation that has not been accomplished until now.  This will be the first utility scale project in the Dominican Republic developed on rooftops, involving up to 190 different rooftops located in the same Industrial Free Zone. Because the project is the first utility scale project in rooftops, it will face unique barriers compared to a free field project.  ","57288","ACM0002 Grid-connected electricity generation from renewable sources","Large Scale","Standalone",""
"11250","GS1247 VPA 315 GivePower Haiti Solar Water Farms","CO2balance UK ltd","Listed","5,13,6,3","Energy Efficiency - Domestic","Haiti","The micro-scale Voluntary Project Activity in Haiti is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption Version 3.1. The project will support the provision of safe water using photovoltaic cells to power desalination technology to households within the project area. By providing safe water, the project will ensure that households consume less fuel during the process of water purification and as a result there shall be a reduction of carbon dioxide emissions from the combustion process.","10000","GS TPDDTEC v3.1","Microscale","VPA","1247"
"11249","GS1247 VPA 313 GivePower Haiti Solar Water Farms","CO2balance UK ltd","Listed","5,13,6,3","Energy Efficiency - Domestic","Haiti","The micro-scale Voluntary Project Activity in Haiti is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption Version 3.1. The project will support the provision of safe water using photovoltaic cells to power desalination technology to households within the project area. By providing safe water, the project will ensure that households consume less fuel during the process of water purification and as a result there shall be a reduction of carbon dioxide emissions from the combustion process.","10000","GS TPDDTEC v3.1","Microscale","VPA","1247"
"11248","GS1247 VPA 314 GivePower Haiti Solar Water Farms","CO2balance UK ltd","Listed","5,13,6,3","Energy Efficiency - Domestic","Haiti","The micro-scale Voluntary Project Activity in Haiti is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption Version 3.1. The project will support the provision of safe water using photovoltaic cells to power desalination technology to households within the project area. By providing safe water, the project will ensure that households consume less fuel during the process of water purification and as a result there shall be a reduction of carbon dioxide emissions from the combustion process.","10000","GS TPDDTEC v3.1","Microscale","VPA","1247"
"11244","Bayaguana Solar","Fotonova Dominicana S.R.L.","Listed","13,7,9,8","Solar Thermal - Electricity","Dominican Republic","Bayaguana Solar consists of a 130 MW photovoltaic solar installation located in Bayaguana, province Monteplata.  The proposed project activity will supply an average of 130 MW to the SENI (Sistema Eléctrico Nacional Interconectado), avoiding part of the electricity generated by the grid-connected plants.  This is the current scenario (scenario existing prior to the implementation of the project) and it is also the baseline scenario (scenario that would occur without the implementation of the project).  This means that the baseline scenario would be that all the electricity delivered to the grid by the project would have been generated by the grid-connected power plants and by the addition of new generation resources. ","144652","ACM0002 Grid-connected electricity generation from renewable sources","Large Scale","Standalone",""
"11214","Pedro Corto Solar","Irradiasol Dominicana S.R.L.","Listed","13,7,9,8","Solar Thermal - Electricity","Dominican Republic","The project will generate solar renewable energy through the use of photovoltaic technology and substitute fossil fuel energy from the Dominican grid.","86412","ACM0002 Grid-connected electricity generation from renewable sources","Large Scale","Standalone",""
"6885","Solar Parks Aruba","WEB Aruba N.V.","Gold Standard Certified Design","17,13,9","Solar Thermal - Electricity","Aruba","Installtion of various PV parks on Aruba","11366","AMS-I.D. Grid connected renewable electricity generation","Small Scale","Standalone",""
"5796","GS1290: Native Clean Water Central America: VPA (03) Haiti","NATIVE A PUBLIC BENEFIT CORPORATION","Gold Standard Certified Project","13,6,3,8","Energy Efficiency - Domestic","Haiti","The micro-scale VPA “NativeEnergy Clean Water Programme Central America: VPA (03) Haiti” aims to reduce wood fuel consumption used for domestic/non-residential water treatment by introducing zero energy Clean       water filter technology to replace the use of boiling.  The CME to the project activity is NativeEnergy, an American social enterprise that manufactures and distributes the   Clean water in an effort to provide households in the developing world with convenient and affordable access to safe drinking water.  This micro-scale VPA shall apply the Gold Standard methodology “Technologies and Practices to Displace Decentralized Thermal Energy Consumption”, and therefore shall incorporate any project technologies or activities that displace thermal energy consumption in existing baseline practices.  The PoA seeks to abate GHG emissions associated with the   consumption of biomass for wood fuel traditionally used to boil drinking water.","10000","GS TPDDTEC v 1.","Micro scale","VPA","1290"
"1117","60MW Solar PV - Monte Plata","myclimate Foundation","Gold Standard Certified Project","17,13,7,4,15,1,8","Solar Thermal - Electricity","Dominican Republic","The project will be installed in the ‘Cruce de Boronga’ sector, municipality and province of Monte Plata, Dominican Republic. The project activity consists in the installation of a 60MW photovoltaic Solar Energy Farm, which is considered as a sustainable source of electricity generation. The project activity is developed by Electronic J.R.C., S.R.L. and will be the largest solar power plant in Latin America. It will generate an estimated direct employment for 200 persons during the construction phase and approximately 36 persons during its operational stage. Up to 90GWh electricity will be produced per year.","53000","ACM0002 Grid-connected electricity generation from renewable sources","Large Scale","Standalone",""
"816","Wind Park Vader Piet Aruba","WEB Aruba N.V.","Gold Standard Certified Project","13,7,8","Wind","Aruba","Wind Park  ‘Vader Piet’ is located at the east coast of the island of Aruba. This   island is part of the Dutch Caribbean islands and is located very near to the   coast of Venezuela. 10 wind energy plants (WEP) will be installed, each with an   electric capacity of 3 MW. The projects overall electric capacity will be 30 MW.   The park is expected to reduce emissions of greenhouse gases by an estimated   152,783 tCO2e per year during the first crediting period.","152783","ACM0002 Grid-connected electricity generation from renewable sources","Large scale","Standalone",""
"2564","Expanding access to LPG in Haiti through microfinance services","Entrepreneurs du Monde","Gold Standard Certified Project","13,3,15","Energy Efficiency - Domestic","Haiti","In Haiti more than 90% of the population cooks on charcoal-based stoves and do so using so called traditional ones. Such stoves are considered non-efficient and require large amount of charcoal to operate which translate into a significant cost for the user. More than 1.4 million tons of charcoal is this way used each year.  This  over-consumption  is  not  sustainable  and  is  an  important  reason  behind  the  acute deforestation and soil erosion problems found in this country. On top of that, emissions of greenhouse gas resulting from the burning of charcoal, significantly participate to the global problem that is climate change. To deal with this issue, the French NGO Entrepreneurs du Monde launched a new program called PALMIS Enèji with the objective to facilitate access to cleaner, more modern and cheaper sources of energy for all.  This  program  works  as  a  social  micro-franchise  that  distribute  more  efficient  charcoal cookstoves,  LGP  cookstoves  and  solar  lanterns.  PALMIS Enèji is developing its own distribution network with the objective of making those products easily available to all. A new microcredit financial product is also  being  developed  with  the  support  of  ID  Microfinance  (a  local  microfinance  institution  and  also  a program  of  Entrepreneurs  du  Monde)  to  help  people  with  limited  financial  means  to  have  to  access  to those products. Finally, PALMIS Enèji is trying to increase the level of awareness in local populations about the described issues and the advantages of those products by creating communication tools tailored to the local context.  The  next  step  will  very  likely  be  the  creation  of  a  social  enterprise  in  order  to  assure  the sustainability of its social mission: to distribute as much as possible energy products in Haiti. The project activity  “Expanding LPG access in Haiti through microfinance services""  is in phase with this approach since  it aims to promote the use of LPG as a source  of  energy  for  cooking,  thus  limiting  the  usage  of  charcoal  and  thus  reducing  emissions  of greenhouse gas. Other  than  the  reduction  of  greenhouse  gas  emissions  and  helping  fighting  deforestation,  this project  also  offers  the  possibility  to  reduce  the  emissions  of  toxic  gas  such  as  carbon  monoxide  inside households. Indeed, the combustion of charcoal with traditional stoves, generates toxic gas in the air.  Finally,  the  use  of  LGP  cook stove,  instead  of  a  traditional  one,  means  the  end  user  is  saving significant amount of money because less fuel is needed for her/his cooking needs.","8623","GS TPDDTEC v 1.","Small Scale","Standalone",""
"2097","GS2096_CPA-Replacement of traditional charcoal stoves with efficient EcoRecho stoves in Haiti","Enel Trade","Gold Standard Certified Design","13,3,15","Energy Efficiency - Domestic","Haiti","The small-scale CDM Component Project Activity No. 1 (CPA01) of the Programme of Activities (PoA) entitled, “Replacement of traditional stoves with efficient EcoRecho Stoves in Haiti"" represents the first of multiple CPAs that involve the replacement of traditional charcoal stoves with more efficient EcoRecho stoves in the Republic of Haiti (Haiti). The terms “Republic of Haiti"" or “Haiti"" will be used interchangeably throughout this document when referring to the host country where this proposed CPA01 will be implemented. The improved heat transfer efficiency of the EcoRecho stoves will result in reduced charcoal fuel consumption for cooking, thus reducing the amount of greenhouse gases (GHG) emitted into the atmosphere. Emission reductions (ER) occurring through implementation of CPA01 will be calculated using an approved small-scale CDM (SSC) baseline and monitoring methodology AMS.II.G version 04 for energy efficiency project activities. The proposed CPA01 will be limited to a maximum thermal energy saving equal to the SSC threshold of 180 GigaWatt-hour per year (GWhr/year).","41227","AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass","Small Scale","VPA","2096"
"2096","POA-Replacement of traditional charcoal stoves with efficient EcoRecho stoves in Haiti","Enel Trade","Gold Standard Certified Design","13,3,15","Energy Efficiency - Domestic","Haiti","The project will provide high-quality, affordable stoves to replace inefficient traditional metal charcoal burners in Haiti. The improved charcoal model has been shown to reduce charcoal consumption in households by an average of 50%. The improved stove will significantly reduce greenhouse gas emissions while simultaneously offering benefits to families in the form of relief from high fuel costs and reduced exposure to health-damaging airborne pollutants. Additionally, the project will create over 80 permanent jobs and countless business opportunities in the country. Projected CO2 emissions reductions are more than 30,000 tons for the first year of the first CPA and will continue to rise as the project expands.  The introduction of efficient charcoal stoves into the market will require considerable financial investment, technical training, and management resources.  These resources are scarce in Haiti, particularly the availability of project financing funds.  Due to its high costs of operation and low margin on the charcoal stove the project is dependent on carbon financing being available and its launch is subject to approval from the leading voluntary emissions standard bodies. D&E will manufacture the EcoRecho stoves locally and will sell it through its network of distributors and Non-Governmental Organisations (NGOs. Enel Trade SpA (Enel) will purchase the Emission Reduction credits from the CPAs under the PoA, and will provide D&E up-front financing to install stove manufacturing machinery needed to scale up the project from the current pilot phase.","0","AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass","Small Scale","POA",""
